doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,战争,紧张氛围,1,【第二场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,战争,铺垫,1,【第三场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,权谋,疑心,1,【第四场】,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001001___b0ac065467,空城计,01000000,1000000,《戏考》,《戏考》（1000000）,01001001,空城计,权谋,胆识,1,【第六场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,使命,忠义,3,【第四场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,忠义,悲情,3,【第七场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,忠义,情爱,2,【第三场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,争功,忠义,1,【第三场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,争功,情爱,1,【第三场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,亲情,家国,1,【第五场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,亲情,情爱,1,【第五场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,使命,悲情,1,【第十场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,使命,身份认同,1,【第六场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,宫廷,权力,1,【第九场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,家国,情爱,1,【第五场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,幽冥,忠义,1,【第一场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,忠义,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,忠义,托梦,1,【第二场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,忠义,牺牲,1,【第八场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,忠义,盗骨,1,【第二场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,忠义,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,忠义,羞愧,1,【第七场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,忠义,身份认同,1,【第六场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,悲情,牺牲,1,【第八场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,悲情,羞愧,1,【第七场】,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,托梦,盗骨,1,【第二场】,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,亲情,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,亲情,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,公案,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,公案,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,喜剧,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,喜剧,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,喜剧,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,喜剧,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,家国,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,忠义,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,忠义,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,忠义,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,公案,因果报应,2,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,公案,幽冥,1,【第二场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,公案,求助,1,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,公案,贫富对比,1,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,因果报应,幽冥,1,【第二场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,因果报应,求助,1,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,因果报应,贫富对比,1,【第一场】,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,求助,贫富对比,1,【第一场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,士人尊严,忠义,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,士人尊严,智勇抗争,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,士人尊严,权力压制,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,忠义,智勇抗争,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,忠义,权力压制,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,忠义,权谋,1,【第二场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,忠义,羞辱与反抗,1,【第二场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,怀才不遇,愤世嫉俗,1,【第一场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,智勇抗争,权力压制,1,【第四场】,scene_cooccurrence
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,权谋,羞辱与反抗,1,【第二场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,忠义,权谋,2,【第一场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,忠义,悲情,1,【第二场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,忠义,权力与道德,1,【第三场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,忠义,猜疑,1,【第二场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,忠义,疑心与误杀,1,【第三场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,忠义,英雄相惜,1,【第一场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,悲情,权谋,1,【第二场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,悲情,猜疑,1,【第二场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,权力与道德,疑心与误杀,1,【第三场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,权谋,猜疑,1,【第二场】,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,权谋,英雄相惜,1,【第一场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,亲情,战争,2,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,亲情,离散,2,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,亲情,忠义,1,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,亲情,悲情,1,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,亲情,舍己为人,1,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,亲情,苦难,1,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,使命,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,使命,战争,1,【第二场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,侵略,战争,1,【第三场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,忠义,战争,1,【第二场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,忠义,离散,1,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,忠义,舍己为人,1,【第五场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,悲情,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,悲情,战争,1,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,悲情,苦难,1,【第四场】,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,战争,权谋,1,序幕/前置内容,scene_cooccurrence
