doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,pdf_01000000__01001006___06011d42c6__scene__002,2,【第二场】,冲突,推进,4,0.8,10.8333,2.0,12.8333,曹操从信任转为猜疑，决定主动杀人，冲突升级,1,scene_metrics
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,pdf_01000000__01001006___06011d42c6__scene__003,3,【第三场】,高潮,高潮,5,1.0,8.7143,2.4286,11.1429,曹操杀吕伯奢并宣称“宁可我负天下人”，陈宫从信任转为悔恨，关系彻底破裂。,1,scene_metrics
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__001,1,【第一场】,铺垫,铺垫,2,0.4,0.6724,0.0,0.6724,从哀悼转向危机预警，战乱消息打破平静,0,scene_metrics
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__002,2,【第二场】,发展,推进,4,0.8,0.2941,0.0,0.2941,邓伯道做出逃难决断，将家财托付家丁，冲突从外部威胁转向内部信任与离别,1,scene_metrics
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__003,3,【第三场】,发展,推进,2,0.4,0.1429,0.0,0.1429,无转折，为后续冲突铺垫,0,scene_metrics
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__004,4,【第四场】,发展,推进,4,0.8,0.3158,0.0,0.3158,金氏被风旗卷走，家人失散，冲突升级。,1,scene_metrics
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__005,5,【第五场】,高潮,高潮,5,1.0,1.0909,0.0,1.0909,邓伯道做出舍子救侄的决断，金氏意外救下邓元，人物关系与命运发生重大转折,1,scene_metrics
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__001,1,【第一场】,冲突,对峙,4,0.8,3.25,2.625,5.875,刘玉被射死，冲突升级为直接伤亡,1,scene_metrics
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__002,2,【第二场】,过渡,过渡,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__003,3,【第三场】,高潮,对峙,5,1.0,1.8333,0.8333,2.6667,刘璋从拒绝投降转为因百姓安危决定开城，冲突升级至关键转折。,1,scene_metrics
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__004,4,【第四场】,铺垫,推进,3,0.6,0.5833,0.0,0.5833,无显著转折，为后续冲突铺垫,0,scene_metrics
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__005,5,【第五场】,高潮,高潮,5,1.0,7.0,2.4,9.4,刘璋从质问到被迫让印，权力彻底转移。,1,scene_metrics
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__001,1,【第一场】,转折,反转,3,0.6,0.5152,0.0,0.5152,韩廷凤从期待新婚转为同情江氏，主动放弃婚姻并资助其回家，完成道德抉择。,0,scene_metrics
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__002,2,【第二场】,收束,收束,1,0.2,0.875,0.0,0.875,吴惠泉得知韩员外善举，病体因得银而好转，决定前去叩谢。,0,scene_metrics
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__003,3,【第三场】,发展,推进,1,0.2,2.25,0.0,2.25,吴惠泉提出买子报恩，韩廷凤接受提议，为后续剧情埋下伏笔,0,scene_metrics
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__004,4,【第四场】,冲突,推进,4,0.8,0.3529,0.0,0.3529,金氏揭示韩遇运身世，母子关系发生根本转变，冲突升级,1,scene_metrics
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__005,5,【第五场】,发展,推进,2,0.4,0.5417,0.0,0.5417,吴惠泉买子，为后续家庭关系埋下伏笔,0,scene_metrics
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__006,6,【第六场】,高潮,反转,5,1.0,1.4068,0.0,1.4068,韩遇运讲述身世，韩廷凤发现其脚上朱砂痣，确认父子关系,1,scene_metrics
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,pdf_01000000__01001010___86bc12e35b__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,救,0,scene_metrics
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,pdf_01000000__01001010___86bc12e35b__scene__001,1,【第一场】,铺垫,引子,2,0.5,1.5,0.0,1.5,无显著转折，为后续冲突埋下伏笔,0,scene_metrics
pdf_01000000__01001010___86bc12e35b,黄金台,01000000,1000000,《戏考》,《戏考》（1000000）,01001010,黄金台,pdf_01000000__01001010___86bc12e35b__scene__002,2,【第二场】,冲突,推进,4,1.0,1.1261,0.0,1.1261,田单决定让田法章扮女装，冲突升级至面对面搜查,1,scene_metrics
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,pdf_01000000__01001011___b32a64375f__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,pdf_01000000__01001011___b32a64375f__scene__001,1,【第一场】,铺垫,引子,3,0.75,6.8333,0.1667,7.0,东皋公认出伍员并承诺相助，为后续出关计划埋下伏笔,1,scene_metrics
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,pdf_01000000__01001011___b32a64375f__scene__002,2,【第二场】,发展,推进,4,1.0,2.3,0.1,2.4,伍员须发变白，成为过关转机，东皋公提出具体解救方案。,1,scene_metrics
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,pdf_01000000__01001011___b32a64375f__scene__003,3,【第四场】,转折,推进,3,0.75,5.1667,0.1667,5.3333,东皋公提出具体计策，伍员出关计划进入实施阶段。,1,scene_metrics
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,pdf_01000000__01001011___b32a64375f__scene__004,4,【第五场】,发展,推进,3,0.75,2.0,0.0,2.0,皇甫讷被米南适识破并下令抓捕，冲突升级,1,scene_metrics
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,pdf_01000000__01001011___b32a64375f__scene__005,5,【第六场】,收束,收束,1,0.25,0.1667,0.0,0.1667,无转折，为前段过关情节的收束,0,scene_metrics
pdf_01000000__01001011___b32a64375f,文昭关,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,pdf_01000000__01001011___b32a64375f__scene__006,6,【第七场】,高潮,反转,4,1.0,0.4118,0.0,0.4118,米南适误认皇甫讷为伍子胥，东皋公借机解救并掩护真伍子胥过关。,1,scene_metrics
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,pdf_01000000__01001012___3dcca783f4__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,pdf_01000000__01001012___3dcca783f4__scene__001,1,【第一场】,发展,推进,4,0.8,10.25,1.0,11.25,诸葛亮以竹节为信物，设定十六日回朝，为后续冲突埋下伏笔。,1,scene_metrics
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,pdf_01000000__01001012___3dcca783f4__scene__002,2,【第三场】,铺垫,推进,3,0.6,0.8125,0.0,0.8125,无重大转折，但为后续冲突埋下伏笔,0,scene_metrics
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,pdf_01000000__01001012___3dcca783f4__scene__003,3,【第四场】,铺垫,推进,3,0.6,0.875,0.0,0.875,周瑜以太后染病为由阻止刘备探病，将宴席地点定于黄鹤楼，为后续冲突埋下伏笔。,0,scene_metrics
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,pdf_01000000__01001012___3dcca783f4__scene__004,4,【第五场】,高潮,对峙,5,1.0,0.6,0.0471,0.6471,赵云盗取周瑜令箭，使刘备得以安全下楼，冲突从口头争执转向行动对抗,1,scene_metrics
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,pdf_01000000__01001013___2ec29dd171__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,pdf_01000000__01001013___2ec29dd171__scene__001,1,【第一场】,铺垫,铺垫,2,0.5,3.0,0.0,3.0,刘禅从犹豫到同意，为后续北伐行动奠定基础。,0,scene_metrics
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,pdf_01000000__01001013___2ec29dd171__scene__002,2,【第二场】,铺垫,铺垫,1,0.25,3.875,0.0,3.875,无显著转折，为出征前的仪式性铺垫。,0,scene_metrics
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,pdf_01000000__01001013___2ec29dd171__scene__003,3,【第三场】,发展,推进,3,0.75,3.8333,0.5,4.3333,姜维主动请战，从被动防守转为主动出击，冲突升级,1,scene_metrics
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,pdf_01000000__01001013___2ec29dd171__scene__004,4,【第四场】,冲突,推进,4,1.0,0.0,1.75,1.75,姜维击败赵云，展现其勇猛，为后续剧情铺垫,1,scene_metrics
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,pdf_01000000__01001013___2ec29dd171__scene__005,5,【第五场】,发展,推进,3,0.75,2.0,0.625,2.625,诸葛亮得知姜维姓名，开始针对性布局,1,scene_metrics
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,pdf_01000000__01001013___2ec29dd171__scene__006,6,【第六场】,冲突,推进,4,1.0,0.1,0.2,0.3,马遵识破诈城并放箭，冲突升级为直接交战,1,scene_metrics
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,pdf_01000000__01001013___2ec29dd171__scene__007,7,【第七场】,高潮,高潮,4,1.0,0.3529,0.6471,1.0,姜维从抵抗转为归降，诸葛亮获得重要将领,1,scene_metrics
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,pdf_01000000__01001014___552f523069__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,pdf_01000000__01001014___552f523069__scene__001,1,【第一场】,冲突,推进,4,0.8,0.1759,0.0,0.1759,诸葛亮从主动羞辱转为被动暴露弱点，计谋被司马懿化解。,1,scene_metrics
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,pdf_01000000__01001014___552f523069__scene__002,2,【第二场】,高潮,高潮,5,1.0,1.76,0.0,1.76,诸葛亮病逝，蜀汉核心人物陨落，剧情转向后诸葛亮时代,1,scene_metrics
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,pdf_01000000__01001014___552f523069__scene__003,3,【第四场】,冲突,对峙,4,0.8,0.1875,0.0,0.1875,姜维假扮诸葛亮出场，司马懿被吓退，冲突暂时化解,1,scene_metrics
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,pdf_01000000__01001014___552f523069__scene__004,4,【第五场】,收束,收束,3,0.6,0.1714,0.0,0.1714,司马懿从怀疑孔明未死到确认其死，但选择谨慎收兵，避免冒险。,0,scene_metrics
pdf_01000000__01001015___f8b1d2d500,战北原,01000000,1000000,《戏考》,《戏考》（1000000）,01001015,战北原,pdf_01000000__01001015___f8b1d2d500__scene__000,0,序幕/前置内容,铺垫,引子,1,1.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001016___c79fb0e7e0,牧羊卷,01000000,1000000,《戏考》,《戏考》（1000000）,01001016,牧羊卷,pdf_01000000__01001016___c79fb0e7e0__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001017___e46f29227d,清官册,01000000,1000000,《戏考》,《戏考》（1000000）,01001017,清官册,pdf_01000000__01001017___e46f29227d__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001017___e46f29227d,清官册,01000000,1000000,《戏考》,《戏考》（1000000）,01001017,清官册,pdf_01000000__01001017___e46f29227d__scene__001,1,【第一场】,铺垫,引子,2,0.5,0.375,0.0,0.375,金牌突降，打破日常，引发未知命运悬念,0,scene_metrics
pdf_01000000__01001017___e46f29227d,清官册,01000000,1000000,《戏考》,《戏考》（1000000）,01001017,清官册,pdf_01000000__01001017___e46f29227d__scene__002,2,【第二场】,铺垫,推进,3,0.75,1.75,0.0,1.75,赵德芳透露前任御史被杀的威胁，寇准面临审案压力，为后续冲突埋下伏笔,1,scene_metrics
pdf_01000000__01001017___e46f29227d,清官册,01000000,1000000,《戏考》,《戏考》（1000000）,01001017,清官册,pdf_01000000__01001017___e46f29227d__scene__003,3,【第三场】,铺垫,过渡,2,0.5,0.0962,0.0,0.0962,无显著转折，为后续奏报做铺垫。,0,scene_metrics
pdf_01000000__01001017___e46f29227d,清官册,01000000,1000000,《戏考》,《戏考》（1000000）,01001017,清官册,pdf_01000000__01001017___e46f29227d__scene__004,4,【第五场】,冲突,推进,4,1.0,6.1,0.0,6.1,寇准用刑后潘洪仍无口供，案件陷入僵局，寇准转向外部求助。,1,scene_metrics
pdf_01000000__01001018___8d863edec0,双狮图,01000000,1000000,《戏考》,《戏考》（1000000）,01001018,双狮图,pdf_01000000__01001018___8d863edec0__scene__000,0,序幕/前置内容,铺垫,引子,1,1.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001019___9ae2e889df,柴桑口,01000000,1000000,《戏考》,《戏考》（1000000）,01001019,柴桑口,pdf_01000000__01001019___9ae2e889df__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001019___9ae2e889df,柴桑口,01000000,1000000,《戏考》,《戏考》（1000000）,01001019,柴桑口,pdf_01000000__01001019___9ae2e889df__scene__001,1,【第一场】,铺垫,铺垫,2,0.5,0.425,0.0,0.425,鲁肃决定不立即拿下诸葛亮，而是观察其意图，为后续吊祭和智斗铺垫。,0,scene_metrics
pdf_01000000__01001019___9ae2e889df,柴桑口,01000000,1000000,《戏考》,《戏考》（1000000）,01001019,柴桑口,pdf_01000000__01001019___9ae2e889df__scene__002,2,【第二场】,转折,推进,3,0.75,2.875,0.0,2.875,周循决定追赶诸葛亮，冲突升级,1,scene_metrics
pdf_01000000__01001019___9ae2e889df,柴桑口,01000000,1000000,《戏考》,《戏考》（1000000）,01001019,柴桑口,pdf_01000000__01001019___9ae2e889df__scene__003,3,【第三场】,冲突,推进,4,1.0,4.2,0.6,4.8,周循出现并持戈相向，冲突从劝降转向武力对抗,1,scene_metrics
pdf_01000000__01001020___4ed03adea1,宋江闹院,01000000,1000000,《戏考》,《戏考》（1000000）,01001020,宋江闹院,pdf_01000000__01001020___4ed03adea1__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01001020___4ed03adea1,宋江闹院,01000000,1000000,《戏考》,《戏考》（1000000）,01001020,宋江闹院,pdf_01000000__01001020___4ed03adea1__scene__001,1,【第一场】,铺垫,引子,2,0.5,10.25,0.0,10.25,无重大转折，为后续宋江发现奸情埋下伏笔。,0,scene_metrics
