doc_id,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,source_file,source_path,relative_path,title,aliases,alias_text,period_hint,genre_hint,synopsis,note_text,doc_tags,text_length,parse_quality_score,parse_quality_label,analysis_ready,parser_version,scene_count,role_count,dialogue_count,performance_count,relation_count,aggregated_relation_count,theme_count,aggregated_theme_count,entity_alias_count,theme_pair_count,llm_enabled,llm_model,state,raw_md_path,cleaned_md_path,structured_raw_json,structured_json
pdf_01000000__01001011___b32a64375f,01000000,1000000,《戏考》,《戏考》（1000000）,01001011,文昭关,01001011_文昭关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001011_文昭关.pdf,01000000/01001011_文昭关,文昭关,一夜白须,一名：《一夜白须》,明,家庭戏,春秋时伍员逃至昭关，因画图缉拿无法过关，藏于隐士东皋公家。七日后须发皆白，东皋公令友人皇甫讷假扮伍员被擒，伍员趁机混出昭关。后伍员破楚归来欲报恩，东皋公已去。,版本出自《戏考》，剧情突出伍员一夜白须的传奇情节，东皋公施恩不望报的义举。,忠义；复仇；智谋；家庭,10874,1.0,high,True,2026-05-16-r6,7,4,160,160,62,20,22,12,0,20,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001011_文昭关\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001011_文昭关\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001011_文昭关\structured.json
pdf_01000000__01001012___3dcca783f4,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,01001012_黄鹤楼.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001012_黄鹤楼.pdf,01000000/01001012_黄鹤楼,黄鹤楼,过江赴宴；竹中藏令,一名：《过江赴宴》；一名：《竹中藏令》,三国,历史戏,刘备借荆州不还，周瑜设宴黄鹤楼欲逼其交还。诸葛亮劝刘备赴宴，授赵云竹节藏令。被困时赵云破竹得周瑜将令，刘备持令脱险，周瑜追袭反败。,此剧按《三国演义》并无其事，情节曲折离奇。新舞台曾演此剧，夏月珊去赵云，颇觉别致。,权谋；战争；忠义,17568,1.0,high,True,2026-05-16-r6,5,6,202,202,77,35,18,11,8,25,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001012_黄鹤楼\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001012_黄鹤楼\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001012_黄鹤楼\structured.json
pdf_01000000__01001013___2ec29dd171,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,01001013_天水关.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001013_天水关.pdf,01000000/01001013_天水关,天水关,初出祁山；取三郡,一名：《初出祁山》；一名：《取三郡》,汉,历史戏,诸葛亮北伐，用计袭取二郡。天水守将马遵中计欲出救，姜维识破并设伏击败赵云。诸葛亮赞姜维之能，派兵取其母，又使人假扮姜维夜攻天水，使马遵疑姜维已降。真姜维回城遭拒，被迫降汉。,《戏考》收录，别名《初出祁山》《取三郡》。剧情以姜维归降为核心，展现诸葛亮智谋与姜维忠孝两难。,忠义；权谋；战争；家庭,11813,1.0,high,True,2026-05-16-r6,8,3,146,146,91,48,27,14,3,29,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001013_天水关\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001013_天水关\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001013_天水关\structured.json
pdf_01000000__01001014___552f523069,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,01001014_七星灯.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001014_七星灯.pdf,01000000/01001014_七星灯,七星灯,孔明求寿,一名《孔明求寿》,三国,历史戏,三国时期，诸葛亮伐魏至六出祁山，心血耗尽，自知不久。姜维建议祈寿，诸葛亮设七星灯禳星。魏延误闯踏灭本命灯，诸葛亮叹生死有命，后嘱托后事，死于军中。司马懿闻讯追击，被诸葛亮偶像吓退，蜀军退回西川。,《戏考》收录，作品编码01001014。剧情包含禳星、踏灭本命灯等关键情节，结局以偶像退敌。,忠义；权谋；战争；生死,9730,0.965,high,True,2026-05-16-r6,5,3,197,197,38,25,15,11,5,15,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001014_七星灯\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001014_七星灯\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001014_七星灯\structured.json
pdf_01000000__01001015___f8b1d2d500,01000000,1000000,《戏考》,《戏考》（1000000）,01001015,战北原,01001015_战北原.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001015_战北原.pdf,01000000/01001015_战北原,战北原,斩郑文,一名《斩郑文》,三国,历史戏,三国时期，司马懿派郑文到蜀营诈降，谎称因司马懿用人不公而愤恨来投。诸葛亮识破其诈，命郑文出战并暗中观察，见其一合斩杀秦朗，遂知其假。诸葛亮欲斩郑文，郑文招供并写信诱司马懿劫寨，司马懿中计，魏军大败，秦朗死于乱军。,此剧为《戏考》收录，作品编码01001015，别名《斩郑文》。剧情围绕诸葛亮识破郑文诈降、将计就计展开，突出其智谋。,权谋；战争；忠义,11695,0.3,low,False,2026-05-16-r6,1,2,1,1,0,0,5,5,3,10,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001015_战北原\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001015_战北原\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001015_战北原\structured.json
pdf_01000000__01001016___c79fb0e7e0,01000000,1000000,《戏考》,《戏考》（1000000）,01001016,牧羊卷,01001016_牧羊卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001016_牧羊卷.pdf,01000000/01001016_牧羊卷,牧羊卷,席棚会妻；双槐树,一名：《席棚会妻》；一名：《双槐树》,宋,家庭戏,朱春登平西立功封侯，归家后得知母亲与妻子被婶母宋氏逐出，以为已死，遂设棚施食。其母与妻赵锦堂行乞至此，经双槐树相认，一家团聚。宋氏发誓时被苍龙抓去。,《戏考》收录，版本为传统京剧，剧情包含家庭离散与团圆、神人报应等元素。,家庭；忠义；离散；团圆；神怪,16405,0.37,low,False,2026-05-16-r6,1,8,2,2,0,0,7,7,0,21,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001016_牧羊卷\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001016_牧羊卷\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001016_牧羊卷\structured.json
pdf_01000000__01001017___e46f29227d,01000000,1000000,《戏考》,《戏考》（1000000）,01001017,清官册,01001017_清官册.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001017_清官册.pdf,01000000/01001017_清官册,清官册,升官图；提寇阴审,一名《升官图》；一名《提寇阴审》,,公案戏,杨继业碰碑后，杨延昭进京告御状。金牌宣召寇准进京审问潘、杨两家之事。寇准本县令，抵京后潘妃贿以金帛，寇准直告八贤王，八贤王嘱暂领贿金留作证据。审问时潘洪欺寇准官卑职小，寇准请过圣旨，潘洪始下跪，但口供一味狡赖。,此剧于寇准进京时，夜宿店中，左思右想，坐至天明，所唱一段二黄，调颇动听，入后则全系白口取神耳。,忠义；公案；权谋,14062,1.0,high,True,2026-05-16-r6,5,5,150,150,53,26,11,7,0,7,True,deepseek-chat,combined,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001017_清官册\audit\raw_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001017_清官册\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001017_清官册\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001017_清官册\structured.json
pdf_01000000__01001018___8d863edec0,01000000,1000000,《戏考》,《戏考》（1000000）,01001018,双狮图,01001018_双狮图.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001018_双狮图.pdf,01000000/01001018_双狮图,双狮图,举鼎观画；薛蛟颁兵,一名：《举鼎观画》；一名：《薛蛟颁兵》,唐,家庭戏,唐武则天时，薛刚闯祸致满门抄斩。薛猛之子薛蛟被徐策以己子换出抚养。薛蛟长大后力举石狮，徐策引其观薛家被难图，说明身世。薛蛟誓报冤仇，徐策修书命其往寒山助叔薛刚报仇。,剧中白口至“家院磨墨伺候”接唱一段，全神贯注疾徐高下，最难得中。前往春桂，听到刘鸿声唱，最为出色。其后《跑城》，乃徐策子回来，做工首推三麻子。,忠义；家庭；复仇；离散,8239,0.37,low,False,2026-05-16-r6,1,3,2,2,0,0,8,8,0,28,True,deepseek-chat,combined,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001018_双狮图\audit\raw_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001018_双狮图\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001018_双狮图\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001018_双狮图\structured.json
pdf_01000000__01001019___9ae2e889df,01000000,1000000,《戏考》,《戏考》（1000000）,01001019,柴桑口,01001019_柴桑口.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001019_柴桑口.pdf,01000000/01001019_柴桑口,柴桑口,孔明吊丧,一名：《孔明吊丧》,三国,历史戏,诸葛亮因周瑜气死，只身前往柴桑口吊丧，痛哭祭奠，感动吴营诸将。周瑜子周循欲追杀诸葛亮，被张飞所杀，吴兵败归。,或谓孔明此行全出于伪，余谓非也。归途中得庞士元，为汉家延揽人才。周循追杀一段，按《三国演义》并无其事。,忠义；权谋；战争,5740,1.0,high,True,2026-05-16-r6,4,3,71,71,33,19,17,11,3,27,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001019_柴桑口\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001019_柴桑口\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001019_柴桑口\structured.json
pdf_01000000__01001020___4ed03adea1,01000000,1000000,《戏考》,《戏考》（1000000）,01001020,宋江闹院,01001020_宋江闹院.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01001020_宋江闹院.pdf,01000000/01001020_宋江闹院,宋江闹院,宋江闹院,宋江闹院,唐,家庭戏,宋江为郓城县书吏，包养阎惜姣母女于乌龙院。徒弟张文远与阎惜姣私通，宋江知情后责问，反被奚落。后晁盖遣刘唐送信赠金，宋江不慎将招文袋遗落院中，被阎惜姣拾得。宋江索要书信不得，怒杀阎惜姣，取书而去。阎婆告官，宋江被判流放江州。,此剧为《戏考》收录，作品编码01001020。剧情包含宋江杀惜、张文远与阎惜姣私通等情节，后张文远被阎惜姣鬼魂活捉。,情爱；家庭；公案；忠义,18950,1.0,high,True,2026-05-16-r6,3,3,270,270,22,9,10,8,0,12,True,deepseek-chat,combined,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001020_宋江闹院\audit\raw_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001020_宋江闹院\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001020_宋江闹院\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01001020_宋江闹院\structured.json
pdf_01000000__01002001___d30790f7a7,01000000,1000000,《戏考》,《戏考》（1000000）,01002001,李陵碑,01002001_李陵碑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002001_李陵碑.pdf,01000000/01002001_李陵碑,李陵碑,两狼山；苏武庙,一名：《两狼山》；一名：《苏武庙》,宋,历史戏,宋辽交战，杨继业被困两狼山，遣子七郎向元帅潘洪求救。潘洪因私仇不发兵并杀七郎。杨继业久困无援，夜梦七郎冤魂，命六郎突围，己则杀至苏武庙，力竭撞李陵碑而死。,《戏考》收录本，有《两狼山》《苏武庙》别名。,忠义；战争；离散,3089,0.879,high,True,2026-05-16-r6,6,3,96,96,15,9,17,8,0,14,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01002001_李陵碑\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01002001_李陵碑\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01002001_李陵碑\structured.json
pdf_01000000__01002003___ad1a817c3c,01000000,1000000,《戏考》,《戏考》（1000000）,01002003,祭长江,01002003_祭长江.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002003_祭长江.pdf,01000000/01002003_祭长江,祭长江,祭江,一名：《祭江》,三国,家庭戏,孙尚香误闻刘备死于猇亭之战，悲痛欲绝，请求国太允许前往江边祭奠。她身着白衣，望西号哭，最终投江殉情。玉帝感其贞洁，封为枭姬娘娘。,版本出自《戏考》，为传统京剧剧目，又名《祭江》。剧情基于《三国演义》改编，突出孙尚香的忠贞与悲剧结局。,忠义；家庭；离散；情爱,1454,0.543,medium,True,2026-05-16-r6,3,1,19,19,2,2,10,10,0,12,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01002003_祭长江\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01002003_祭长江\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01002003_祭长江\structured.json
pdf_01000000__01002004___832d202725,01000000,1000000,《戏考》,《戏考》（1000000）,01002004,探寒窑,01002004_探寒窑.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01002004_探寒窑.pdf,01000000/01002004_探寒窑,探寒窑,母女会,一名：《母女会》,魏,家庭戏,王宝钏因嫁薛平贵与父决裂，独居寒窑十七年。闻夫死讯悲忧成疾，母亲携银探病，见其贫苦劝归。宝钏坚拒不从，假意允诺后闭门绝母，母女含泪而别。,版本出自《戏考》，为传统家庭伦理戏，突出母女情深与宝钏的坚贞。,家庭；离散；情爱,6854,0.3,low,False,2026-05-16-r6,1,2,1,1,0,0,4,4,0,6,True,deepseek-chat,combined,,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01002004_探寒窑\audit\cleaned_full.md,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01002004_探寒窑\audit\structured_raw.json,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_output\01000000\01002004_探寒窑\structured.json
