doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,alias_name,canonical_name,char_id,alias_char_id,derived_by
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,诸葛,诸葛亮,pdf_01000000__01001008___4e2bf00560__char__9dffb49a33,pdf_01000000__01001008___4e2bf00560__char__a47812a791,rule
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,诸葛孔明,诸葛亮,pdf_01000000__01001008___4e2bf00560__char__9dffb49a33,pdf_01000000__01001008___4e2bf00560__char__842c90ec67,rule
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,子龙,赵云,pdf_01000000__01001012___3dcca783f4__char__b442522959,pdf_01000000__01001012___3dcca783f4__char__b45170297f,rule
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,孔明,诸葛亮,pdf_01000000__01001012___3dcca783f4__char__b788173f9c,pdf_01000000__01001012___3dcca783f4__char__fee96bf810,rule
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,玄德,刘备,pdf_01000000__01001012___3dcca783f4__char__5b525fe809,pdf_01000000__01001012___3dcca783f4__char__2e26425500,rule
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,皇叔,刘备,pdf_01000000__01001012___3dcca783f4__char__5b525fe809,pdf_01000000__01001012___3dcca783f4__char__300a3fcd76,rule
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,翼德,张飞,pdf_01000000__01001012___3dcca783f4__char__4968ffc02e,pdf_01000000__01001012___3dcca783f4__char__d14a13751b,rule
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,诸葛,诸葛亮,pdf_01000000__01001012___3dcca783f4__char__b788173f9c,pdf_01000000__01001012___3dcca783f4__char__b35b9d2565,rule
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,诸葛孔明,诸葛亮,pdf_01000000__01001012___3dcca783f4__char__b788173f9c,pdf_01000000__01001012___3dcca783f4__char__f0ae7b5fe9,rule
pdf_01000000__01001012___3dcca783f4,黄鹤楼,01000000,1000000,《戏考》,《戏考》（1000000）,01001012,黄鹤楼,赵子龙,赵云,pdf_01000000__01001012___3dcca783f4__char__b442522959,pdf_01000000__01001012___3dcca783f4__char__221413d8b6,rule
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,孔明,诸葛亮,pdf_01000000__01001013___2ec29dd171__char__3c415c8253,pdf_01000000__01001013___2ec29dd171__char__2956b2668b,rule
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,诸葛,诸葛亮,pdf_01000000__01001013___2ec29dd171__char__3c415c8253,pdf_01000000__01001013___2ec29dd171__char__533eea49cc,rule
pdf_01000000__01001013___2ec29dd171,天水关,01000000,1000000,《戏考》,《戏考》（1000000）,01001013,天水关,诸葛孔明,诸葛亮,pdf_01000000__01001013___2ec29dd171__char__3c415c8253,pdf_01000000__01001013___2ec29dd171__char__12363d57a9,rule
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,司马,司马懿,pdf_01000000__01001014___552f523069__char__068a1b5735,pdf_01000000__01001014___552f523069__char__2249b768c1,rule
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,司马仲达,司马懿,pdf_01000000__01001014___552f523069__char__068a1b5735,pdf_01000000__01001014___552f523069__char__46dbd0c051,rule
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,孔明,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,pdf_01000000__01001014___552f523069__char__a2e9f538c0,rule
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,诸葛,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,pdf_01000000__01001014___552f523069__char__2024cf24a1,rule
pdf_01000000__01001014___552f523069,七星灯,01000000,1000000,《戏考》,《戏考》（1000000）,01001014,七星灯,诸葛孔明,诸葛亮,pdf_01000000__01001014___552f523069__char__b3429857e0,pdf_01000000__01001014___552f523069__char__108d69d512,rule
pdf_01000000__01001015___f8b1d2d500,战北原,01000000,1000000,《戏考》,《戏考》（1000000）,01001015,战北原,孔明,诸葛亮,pdf_01000000__01001015___f8b1d2d500__char__bb57056acf,pdf_01000000__01001015___f8b1d2d500__char__be64e01f91,rule
pdf_01000000__01001015___f8b1d2d500,战北原,01000000,1000000,《戏考》,《戏考》（1000000）,01001015,战北原,诸葛,诸葛亮,pdf_01000000__01001015___f8b1d2d500__char__bb57056acf,pdf_01000000__01001015___f8b1d2d500__char__25ae2c52d7,rule
pdf_01000000__01001015___f8b1d2d500,战北原,01000000,1000000,《戏考》,《戏考》（1000000）,01001015,战北原,诸葛孔明,诸葛亮,pdf_01000000__01001015___f8b1d2d500__char__bb57056acf,pdf_01000000__01001015___f8b1d2d500__char__43cf9721a1,rule
pdf_01000000__01001019___9ae2e889df,柴桑口,01000000,1000000,《戏考》,《戏考》（1000000）,01001019,柴桑口,孔明,诸葛亮,pdf_01000000__01001019___9ae2e889df__char__3e24ab56aa,pdf_01000000__01001019___9ae2e889df__char__cbe066f2fd,rule
pdf_01000000__01001019___9ae2e889df,柴桑口,01000000,1000000,《戏考》,《戏考》（1000000）,01001019,柴桑口,诸葛,诸葛亮,pdf_01000000__01001019___9ae2e889df__char__3e24ab56aa,pdf_01000000__01001019___9ae2e889df__char__d7352b55d7,rule
pdf_01000000__01001019___9ae2e889df,柴桑口,01000000,1000000,《戏考》,《戏考》（1000000）,01001019,柴桑口,诸葛孔明,诸葛亮,pdf_01000000__01001019___9ae2e889df__char__3e24ab56aa,pdf_01000000__01001019___9ae2e889df__char__7dc9b56c3b,rule
pdf_01000000__01002012___6c0f4ca58e,白门楼,01000000,1000000,《戏考》,《戏考》（1000000）,01002012,白门楼,奉先,吕布,pdf_01000000__01002012___6c0f4ca58e__char__e8e6a3063d,pdf_01000000__01002012___6c0f4ca58e__char__199094bf44,rule
pdf_01000000__01002012___6c0f4ca58e,白门楼,01000000,1000000,《戏考》,《戏考》（1000000）,01002012,白门楼,孟德,曹操,pdf_01000000__01002012___6c0f4ca58e__char__a17699627a,pdf_01000000__01002012___6c0f4ca58e__char__76cd653660,rule
pdf_01000000__01002012___6c0f4ca58e,白门楼,01000000,1000000,《戏考》,《戏考》（1000000）,01002012,白门楼,玄德,刘备,pdf_01000000__01002012___6c0f4ca58e__char__ebbeff365f,pdf_01000000__01002012___6c0f4ca58e__char__5767c3746c,rule
pdf_01000000__01002012___6c0f4ca58e,白门楼,01000000,1000000,《戏考》,《戏考》（1000000）,01002012,白门楼,皇叔,刘备,pdf_01000000__01002012___6c0f4ca58e__char__ebbeff365f,pdf_01000000__01002012___6c0f4ca58e__char__09017f87ae,rule
pdf_01000000__01002013___a1d909916b,华容道,01000000,1000000,《戏考》,《戏考》（1000000）,01002013,华容道,云长,关羽,pdf_01000000__01002013___a1d909916b__char__debb0ff402,pdf_01000000__01002013___a1d909916b__char__e54bcccbac,rule
pdf_01000000__01002013___a1d909916b,华容道,01000000,1000000,《戏考》,《戏考》（1000000）,01002013,华容道,关公,关羽,pdf_01000000__01002013___a1d909916b__char__debb0ff402,pdf_01000000__01002013___a1d909916b__char__a935bada51,rule
pdf_01000000__01002013___a1d909916b,华容道,01000000,1000000,《戏考》,《戏考》（1000000）,01002013,华容道,孟德,曹操,pdf_01000000__01002013___a1d909916b__char__76e689ebdd,pdf_01000000__01002013___a1d909916b__char__a920e17f05,rule
pdf_01000000__01003002___acc415186d,群英会,01000000,1000000,《戏考》,《戏考》（1000000）,01003002,群英会,孔明,诸葛亮,pdf_01000000__01003002___acc415186d__char__f94edb22f8,pdf_01000000__01003002___acc415186d__char__26dc5905f3,rule
pdf_01000000__01003002___acc415186d,群英会,01000000,1000000,《戏考》,《戏考》（1000000）,01003002,群英会,孟德,曹操,pdf_01000000__01003002___acc415186d__char__80042e74d8,pdf_01000000__01003002___acc415186d__char__4e15f6fea1,rule
pdf_01000000__01003002___acc415186d,群英会,01000000,1000000,《戏考》,《戏考》（1000000）,01003002,群英会,诸葛,诸葛亮,pdf_01000000__01003002___acc415186d__char__f94edb22f8,pdf_01000000__01003002___acc415186d__char__b1644f7976,rule
pdf_01000000__01003002___acc415186d,群英会,01000000,1000000,《戏考》,《戏考》（1000000）,01003002,群英会,诸葛孔明,诸葛亮,pdf_01000000__01003002___acc415186d__char__f94edb22f8,pdf_01000000__01003002___acc415186d__char__22ffeaec67,rule
pdf_01000000__01004001___ad83d28842,逍遥津,01000000,1000000,《戏考》,《戏考》（1000000）,01004001,逍遥津,司马,司马懿,pdf_01000000__01004001___ad83d28842__char__2df9eac30e,pdf_01000000__01004001___ad83d28842__char__7053a723a2,rule
pdf_01000000__01004001___ad83d28842,逍遥津,01000000,1000000,《戏考》,《戏考》（1000000）,01004001,逍遥津,司马仲达,司马懿,pdf_01000000__01004001___ad83d28842__char__2df9eac30e,pdf_01000000__01004001___ad83d28842__char__8675a65f5d,rule
pdf_01000000__01004001___ad83d28842,逍遥津,01000000,1000000,《戏考》,《戏考》（1000000）,01004001,逍遥津,孟德,曹操,pdf_01000000__01004001___ad83d28842__char__e1bd96b7dd,pdf_01000000__01004001___ad83d28842__char__8acf360fe0,rule
pdf_01000000__01004006___13b2265b9d,辕门射戟,01000000,1000000,《戏考》,《戏考》（1000000）,01004006,辕门射戟,奉先,吕布,pdf_01000000__01004006___13b2265b9d__char__916b136e7f,pdf_01000000__01004006___13b2265b9d__char__2cb1a62e5f,rule
pdf_01000000__01004006___13b2265b9d,辕门射戟,01000000,1000000,《戏考》,《戏考》（1000000）,01004006,辕门射戟,玄德,刘备,pdf_01000000__01004006___13b2265b9d__char__238f0dc566,pdf_01000000__01004006___13b2265b9d__char__8e1e4d32aa,rule
pdf_01000000__01004006___13b2265b9d,辕门射戟,01000000,1000000,《戏考》,《戏考》（1000000）,01004006,辕门射戟,皇叔,刘备,pdf_01000000__01004006___13b2265b9d__char__238f0dc566,pdf_01000000__01004006___13b2265b9d__char__40ad551549,rule
pdf_01000000__01004006___13b2265b9d,辕门射戟,01000000,1000000,《戏考》,《戏考》（1000000）,01004006,辕门射戟,翼德,张飞,pdf_01000000__01004006___13b2265b9d__char__173560819f,pdf_01000000__01004006___13b2265b9d__char__71d71cfa35,rule
pdf_01000000__01005011___ce48065512,回荆州,01000000,1000000,《戏考》,《戏考》（1000000）,01005011,回荆州,子龙,赵云,pdf_01000000__01005011___ce48065512__char__539a8f3d2a,pdf_01000000__01005011___ce48065512__char__ca14443082,rule
pdf_01000000__01005011___ce48065512,回荆州,01000000,1000000,《戏考》,《戏考》（1000000）,01005011,回荆州,孔明,诸葛亮,pdf_01000000__01005011___ce48065512__char__3630d553f6,pdf_01000000__01005011___ce48065512__char__dc3f8b3d3e,rule
pdf_01000000__01005011___ce48065512,回荆州,01000000,1000000,《戏考》,《戏考》（1000000）,01005011,回荆州,玄德,刘备,pdf_01000000__01005011___ce48065512__char__d094123d43,pdf_01000000__01005011___ce48065512__char__255072d8e6,rule
pdf_01000000__01005011___ce48065512,回荆州,01000000,1000000,《戏考》,《戏考》（1000000）,01005011,回荆州,皇叔,刘备,pdf_01000000__01005011___ce48065512__char__d094123d43,pdf_01000000__01005011___ce48065512__char__aeeba74fde,rule
pdf_01000000__01005011___ce48065512,回荆州,01000000,1000000,《戏考》,《戏考》（1000000）,01005011,回荆州,翼德,张飞,pdf_01000000__01005011___ce48065512__char__d2c4b240f0,pdf_01000000__01005011___ce48065512__char__58b8b4d026,rule
pdf_01000000__01005011___ce48065512,回荆州,01000000,1000000,《戏考》,《戏考》（1000000）,01005011,回荆州,诸葛,诸葛亮,pdf_01000000__01005011___ce48065512__char__3630d553f6,pdf_01000000__01005011___ce48065512__char__6df104a887,rule
pdf_01000000__01005011___ce48065512,回荆州,01000000,1000000,《戏考》,《戏考》（1000000）,01005011,回荆州,诸葛孔明,诸葛亮,pdf_01000000__01005011___ce48065512__char__3630d553f6,pdf_01000000__01005011___ce48065512__char__f91d043f57,rule
pdf_01000000__01005011___ce48065512,回荆州,01000000,1000000,《戏考》,《戏考》（1000000）,01005011,回荆州,赵子龙,赵云,pdf_01000000__01005011___ce48065512__char__539a8f3d2a,pdf_01000000__01005011___ce48065512__char__92a8042b5a,rule
