doc_id,doc_title,collection_dir,collection_code,collection_name,collection_label,work_code,work_title_hint,scene_id,scene_index,scene,line_no,start_line,end_line,location,time_hint,main_event,dominant_action,summary,conflict_stage,tension_level,key_characters,theme_labels,scene_function,narrative_turning_point,characters_present,line_count,dialogue_count,lyric_count,dialogue_density,lyric_density,speech_density,stage_direction_count,narration_count,llm_error
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__003,3,【第三场】,59,59,84,焦赞府邸,孟良二下番营之后,家院向焦赞透露真骨所在，焦赞决定私自前往盗骨。,焦赞得知真相后，假病瞒主，策马争功。,家院告知焦赞，孟良所盗骨殖为假，真骨在洪羊洞望乡台。焦赞不满元帅只派孟良，假称染病，私自前往争功。,发展,3,家院；焦赞,忠义；争功；情爱,推进,焦赞发现孟良盗回假骨，并得知真骨位置，决定独自行动，引发后续冲突。,焦赞；家院,18,9,1,0.3462,0.0385,0.3846,4,4,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__004,4,【第四场】,85,85,90,未知,,孟良上场,上场,孟良独自上场，准备执行任务，为后续剧情发展做铺垫。,铺垫,1,孟良,忠义；使命,引子,无显著转折,,2,0,0,0.0,0.0,0.0,1,1,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__005,5,【第五场】,91,91,96,,,焦赞上场,上场,焦赞独自上场，未见其他角色，本场为简短过渡，未展开具体情节或冲突。,过渡,1,焦赞,情爱,过渡,无显著转折,,2,0,0,0.0,0.0,0.0,1,1,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__006,6,【第六场】,97,97,106,洪羊洞附近,夜晚,孟良从程宣处获知洪羊洞位置，程宣察觉焦赞意图不轨,盘问与报信,孟良盘问更夫程宣，得知洪羊洞位置，并承诺带其回南朝。焦赞随后追来，程宣怀疑其欲害孟良，决定从小道报信。,发展,3,孟良；程宣；焦赞,忠义；使命；身份认同,推进,程宣决定从小道为孟良报信，埋下后续冲突伏笔,孟良；程宣；焦赞,18,17,0,1.7,0.0,1.7,1,0,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__007,7,【第七场】,107,107,112,洪羊洞,无明确时间,孟良自刎，程宣掩埋并离去,自刎与掩埋,孟良因误杀焦赞而羞愧自刎，程宣掩埋二人后，骑走两匹马离去。,收束,3,孟良；程宣,忠义；羞愧；悲情,收束,孟良自刎，完成焦赞之死的后续悲剧收场,孟良；程宣,3,3,0,0.5,0.0,0.5,0,0,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__008,8,【第八场】,113,113,118,帅府,白天,程宣呈报孟良、焦赞双双死于洪羊洞，杨延昭悲痛欲绝。,汇报与悲痛,程宣送来孟良盗取的令公尸骨，并告知孟良误杀焦赞后自刎洪羊洞，杨延昭闻讯悲痛呕血。,高潮,5,杨延昭；程宣,忠义；悲情；牺牲,高潮,杨延昭得知两位结义兄弟惨死，情绪崩溃，预示其身体与精神双重危机。,杨延昭；家院；程宣,37,37,0,6.1667,0.0,6.1667,0,0,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__009,9,【第九场】,119,119,124,未知,,赵德芳登场,登场,赵德芳在太监簇拥下登场，为后续剧情铺垫，未见明显冲突或推进。,铺垫,1,赵德芳,宫廷；权力,引子,无转折,,1,0,0,0.0,0.0,0.0,1,0,
pdf_01000000__01001002___575bd35247,洪羊洞,01000000,1000000,《戏考》,《戏考》（1000000）,01001002,洪羊洞,pdf_01000000__01001002___575bd35247__scene__010,10,【第十场】,125,125,223,杨府病房,杨延昭病重期间,杨延昭病逝，临终托付后事,杨延昭诉说病情与遗言,杨延昭病重，向赵德芳诉说因焦孟二将丧命而忧成病，临终前嘱托柴夫人侍奉母亲，并教训宗保忠心报国，最终去世。,高潮,5,杨延昭；赵德芳；佘太君；柴夫人；杨宗保,忠义；悲情；使命；忠义,高潮,杨延昭去世，剧情进入收束阶段,杨延昭；赵德芳；杨宗保；佘太君；柴夫人,65,44,0,0.4444,0.0,0.4444,2,19,
pdf_01000000__01001003___c7b0d12542,三娘教子,01000000,1000000,《戏考》,《戏考》（1000000）,01001003,三娘教子,pdf_01000000__01001003___c7b0d12542__scene__000,0,序幕/前置内容,1,1,1,,,# 《三娘教子》（《双官诰》【前本】）,命令,# 《三娘教子》（《双官诰》【前本】）,铺垫,0,,忠义；权谋；战争；家国；亲情；公案；喜剧；情爱；离散,引子,,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,pdf_01000000__01001004___c0c4e6569b__scene__000,0,序幕/前置内容,1,1,22,,,# 《乌盆计》 【后本】（一名：《奇冤报》；一名：《定远县》）,汇报,# 《乌盆计》 【后本】（一名：《奇冤报》；一名：《定远县》）,铺垫,0,,权谋；亲情；公案；离散,引子,,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,pdf_01000000__01001004___c0c4e6569b__scene__001,1,【第一场】,23,23,68,赵大家门外及张别古家中,白天,刘世昌冤魂向张别古诉说被害经过并请求伸冤,求助与承诺,张别古找赵大讨债，赵大炫耀财富并戏弄张别古。张别古回家途中，被刘世昌冤魂附于乌盆中求助，刘世昌诉说被赵大夫妻毒杀经过，恳求张别古带他去见包公伸冤。,发展,4,张别古；赵大；刘世昌,公案；求助；贫富对比；因果报应,推进,张别古从拒绝到答应带乌盆见官，冤魂身份揭露并推动诉讼行动,张别古；赵大；刘世昌,91,85,0,1.8478,0.0,1.8478,5,1,
pdf_01000000__01001004___c0c4e6569b,乌盆计,01000000,1000000,《戏考》,《戏考》（1000000）,01001004,乌盆计【后本】,pdf_01000000__01001004___c0c4e6569b__scene__002,2,【第二场】,69,69,119,公堂,白天,张别古代乌盆告状，包拯初步受理并传唤赵大夫妻。,告状与审问,张别古带乌盆到公堂告状，包拯起初不信乌盆说话，后经张别古转述，得知乌盆冤魂被门神所阻，包拯赏纸钱后，乌盆显灵陈述冤情，包拯下令传赵大夫妻到案。,发展,3,包拯；张别古；刘世昌,幽冥；公案；因果报应,推进,包拯从怀疑到相信乌盆有冤，下令传唤赵大夫妻，案件正式进入审理阶段。,包拯；二衙役；张别古；刘世昌,77,60,0,1.1765,0.0,1.1765,3,14,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__scene__000,0,序幕/前置内容,1,1,18,,,# 《打鼓骂曹》 （一名：《群臣宴》）,命令,# 《打鼓骂曹》 （一名：《群臣宴》）,铺垫,0,,亲情,引子,,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__scene__001,1,【第一场】,19,19,22,未指定,未指定,祢衡出场念引子，表达对世事的超然与不满。,祢衡独白抒情,祢衡登场，以引子抒发怀才不遇、看破兴亡的感慨，为后续骂曹铺垫孤傲性格与愤世情绪。,铺垫,1,祢衡,怀才不遇；愤世嫉俗,引子,无转折，仅为人物性格与情绪铺垫。,祢衡,1,1,0,0.25,0.0,0.25,0,0,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__scene__002,2,【第二场】,23,23,32,相府,白日,祢衡与曹操初次交锋，祢衡痛骂曹操及其属下，曹操命祢衡为鼓吏以羞辱之。,祢衡当面讥讽曹操帐下文武，曹操以鼓吏之职报复。,祢衡应孔融之荐见曹操，因曹操傲慢无礼而反唇相讥，痛骂曹操帐下文武皆为庸碌之辈，曹操怒而命其为鼓吏以辱之。,冲突,4,祢衡；曹操；孔融；张辽,权谋；羞辱与反抗；忠义,推进,冲突升级：祢衡从礼节不满转为公开辱骂曹操集团，曹操从试探转为羞辱性压制。,曹操；张辽；孔融；祢衡,50,40,9,4.0,0.9,4.9,1,0,
pdf_01000000__01001005___9cd2b8992a,打鼓骂曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001005,打鼓骂曹,pdf_01000000__01001005___9cd2b8992a__scene__003,3,【第四场】,33,33,47,相府宴席,元旦节,祢衡击鼓骂曹，揭露曹操奸佞，曹操命其往荆州说刘表。,祢衡辱骂曹操，曹操压制祢衡,祢衡被曹操屈为鼓吏，借击鼓之机痛骂曹操奸佞，历数其浊，曹操怒而命其往荆州说刘表，祢衡被迫应允。,高潮,5,祢衡；曹操；张辽；四朝官；二旗牌,忠义；士人尊严；权力压制；智勇抗争,对峙,祢衡从辱骂转为被迫接受曹操命令，冲突从直接对抗转为间接压制。,朝官甲；朝官乙；朝官丙；朝官丁；四朝官；张辽；曹操；曹操四朝官曹操旗牌曹操旗牌祢衡；祢衡；二旗牌,108,83,23,5.5333,1.5333,7.0667,2,0,
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,pdf_01000000__01001006___06011d42c6__scene__000,0,序幕/前置内容,1,1,24,,,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,命令,# 《捉放曹》；# （一名：《中牟县》；一名：《陈宫计》）,铺垫,0,,权谋；家国；亲情；公案；离散,引子,,,2,0,0,0.0,0.0,0.0,0,2,
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,pdf_01000000__01001006___06011d42c6__scene__001,1,【第一场】,25,25,82,中牟县县衙大堂及二堂,白天,陈宫释放曹操并决定与他结盟逃亡,陈宫释放曹操并决定同行,陈宫审问被捕的曹操，曹操以言辞打动陈宫，陈宫决定弃官与曹操一同逃亡，共谋讨伐董卓。,转折,4,陈宫；曹操,忠义；英雄相惜；忠义；权谋,反转,陈宫从抓捕者转变为同盟者，决定弃官与曹操共谋大事,陈宫；班头甲；班头乙；曹操；门子,57,43,7,0.7414,0.1207,0.8621,4,3,
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,pdf_01000000__01001006___06011d42c6__scene__002,2,【第二场】,83,83,88,吕伯奢庄上,傍晚,曹操疑吕伯奢告密，决定先下手为强,曹操提剑欲杀吕家,曹操与陈宫路遇吕伯奢，被邀至庄中。吕伯奢外出沽酒，曹操疑其告密，不顾陈宫劝阻，执意提剑欲杀吕家满门。,冲突,4,曹操；陈宫；吕伯奢,猜疑；忠义；权谋；悲情,推进,曹操从信任转为猜疑，决定主动杀人，冲突升级,吕伯奢；曹操；陈宫；童儿；曹操、陈宫；家人,78,65,12,10.8333,2.0,12.8333,1,0,
pdf_01000000__01001006___06011d42c6,捉放曹,01000000,1000000,《戏考》,《戏考》（1000000）,01001006,捉放曹,pdf_01000000__01001006___06011d42c6__scene__003,3,【第三场】,89,89,95,吕伯奢庄外及客店,黄昏至二更,曹操杀死吕伯奢全家及吕伯奢本人，陈宫劝阻无效，二人投宿客店。,曹操杀人灭口，陈宫劝阻与反思,曹操误杀吕伯奢全家，陈宫劝阻无效，曹操又杀吕伯奢灭口，陈宫心生悔意，二人投宿客店，陈宫独思曹操奸诈。,高潮,5,曹操；陈宫；吕伯奢,疑心与误杀；忠义；权力与道德,高潮,曹操杀吕伯奢并宣称“宁可我负天下人”，陈宫从信任转为悔恨，关系彻底破裂。,曹操；陈宫；吕伯奢；店家,79,61,17,8.7143,2.4286,11.1429,1,0,
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__000,0,序幕/前置内容,1,1,20,,,# 《桑园寄子》（一名：《黑水国》）,命令,# 《桑园寄子》（一名：《黑水国》）,铺垫,0,,权谋；战争；家国；亲情；情爱；离散,引子,,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__001,1,【第一场】,21,21,78,坟台,周年之期,祭奠亡弟并突闻战乱消息,祭奠与惊闻,邓伯道携二子祭奠亡弟，坟前哀悼时突闻黑水国造反，祸事临头，仓促返家。,铺垫,2,邓伯道；邓元；邓方；二家院,情爱；悲情；疾病与死亡,铺垫,从哀悼转向危机预警，战乱消息打破平静,邓伯道；二家院；邓元；邓方,47,39,0,0.6724,0.0,0.6724,4,4,
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__002,2,【第二场】,79,79,146,邓伯道家中草堂,战乱逼近时,邓伯道决定逃难并托付家财,逃难准备与托付,黑水国造反逼近，邓伯道决定携弟妇金氏及二子逃往潼关，将家财托付众家丁，全家拜别后匆忙离去。,发展,4,邓伯道；金氏；二家院,战争；使命；忠义,推进,邓伯道做出逃难决断，将家财托付家丁，冲突从外部威胁转向内部信任与离别,金氏；邓伯道；二家院；众家丁,33,20,0,0.2941,0.0,0.2941,6,7,
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__003,3,【第三场】,147,147,160,文水县附近,无明确时间,番王石勒下令进攻文水县,命令,番王石勒率军一路斩关夺寨，抵达文水县，下令巴都鲁继续进攻，展现其侵略势头。,发展,2,番王,侵略；战争,推进,无转折，为后续冲突铺垫,番王,6,2,0,0.1429,0.0,0.1429,3,1,
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__004,4,【第四场】,161,161,198,山间野路,白天,邓伯道一家逃难，遭遇番兵追击，金氏被风旗卷走失散。,逃亡,邓伯道一家逃难途中，翻山越岭，遭遇番兵追击，金氏被风旗卷走，众人失散，危机加剧。,发展,4,邓伯道；金氏；邓方,悲情；战争；亲情；苦难,推进,金氏被风旗卷走，家人失散，冲突升级。,邓伯道；邓方；金氏,18,12,0,0.3158,0.0,0.3158,4,2,
pdf_01000000__01001007___1b262d262b,桑园寄子,01000000,1000000,《戏考》,《戏考》（1000000）,01001007,桑园寄子,pdf_01000000__01001007___1b262d262b__scene__005,5,【第五场】,199,199,275,桑园,逃难途中,邓伯道舍亲子救侄儿，金氏救下邓元,邓伯道绑子留血书，携侄儿离去,邓伯道为保侄儿邓方，忍痛将亲子邓元绑在桑树上并留下血书，携侄儿逃难。金氏逃脱贼兵后救下邓元，二人相认并决定投奔潼关。,高潮,5,邓伯道；邓元；邓方；金氏,舍己为人；亲情；忠义；离散,高潮,邓伯道做出舍子救侄的决断，金氏意外救下邓元，人物关系与命运发生重大转折,邓伯道；邓元；邓方；金氏,90,84,0,1.0909,0.0,1.0909,3,3,
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__000,0,序幕/前置内容,1,1,26,,,# 《取成都》；# （一名：《石伏岩》）,命令,# 《取成都》；# （一名：《石伏岩》）,铺垫,0,,战争；亲情；情爱,引子,,,2,0,0,0.0,0.0,0.0,0,2,
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__001,1,【第一场】,27,27,34,成都银安殿及敌楼,白天,刘玉与王累登城与马超对峙，刘玉被马超射死,刘玉与王累守城抗敌,刘璋得知马超降刘备攻成都，欲让西川。刘玉与王累劝阻，刘玉登城与马超对峙，被马超射死，王累下令守城。,冲突,4,刘璋；刘玉；王累；马超,忠义；战争；投降与抵抗,对峙,刘玉被射死，冲突升级为直接伤亡,刘璋；探子；刘玉；王累；马超,48,26,21,3.25,2.625,5.875,1,0,
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__002,2,【第二场】,35,35,38,,,,命令,,过渡,0,,战争；亲情；情爱,过渡,,,0,0,0,0.0,0.0,0.0,0,0,
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__003,3,【第三场】,39,39,44,成都城下,交战期间,马超以烧民房逼迫刘璋投降，刘璋为百姓决定开城。,马超放火逼降，刘璋被迫决策,马超劝降刘璋，刘璋以分土相诱拒绝；马超放火烧民房逼降，刘璋为百姓安危决定开城，王累劝阻无效。,高潮,5,马超；刘璋；王累,忠义；仁政与暴虐；权力与牺牲,对峙,刘璋从拒绝投降转为因百姓安危决定开城，冲突升级至关键转折。,马超；刘璋；四白龙套；王累,16,11,5,1.8333,0.8333,2.6667,0,0,
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__004,4,【第四场】,45,45,56,成都城门外,白天,刘备与刘璋会面并一同进城,谦让与同行,刘备与刘璋在城门口相遇，二人互相谦让后携手入城，表面和睦但暗藏紧张。,铺垫,3,刘备；刘璋,权谋；虚伪和睦；亲情,推进,无显著转折，为后续冲突铺垫,刘备；刘璋,9,7,0,0.5833,0.0,0.5833,2,0,
pdf_01000000__01001008___4e2bf00560,取成都,01000000,1000000,《戏考》,《戏考》（1000000）,01001008,取成都,pdf_01000000__01001008___4e2bf00560__scene__005,5,【第五场】,57,57,61,成都城内,刘备带兵入城后,刘璋在众将威逼下交出成都印信，刘备接管成都。,威逼让印,刘璋质问刘备带兵入成都，诸葛亮与四将威逼刘璋让印，刘璋被迫交出成都，刘备假意安抚并安排其前往荆州。,高潮,5,刘璋；刘备；诸葛亮；魏延；赵云；黄忠；严颜,权力争夺；同宗相残；忠义；被迫屈服,高潮,刘璋从质问到被迫让印，权力彻底转移。,刘璋；刘备；诸葛亮；魏延；赵云；黄忠；严颜；众人；黄忠、严颜、魏延、赵云,47,35,12,7.0,2.4,9.4,0,0,
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__000,0,序幕/前置内容,1,1,22,,,# 《硃砂痣》 （一名：《行善得子》）,命令,# 《硃砂痣》 （一名：《行善得子》）,铺垫,0,,战争；家国；亲情；情爱；离散,引子,,,1,0,0,0.0,0.0,0.0,0,1,
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__001,1,【第一场】,23,23,88,韩廷凤府邸厅堂,夜晚,韩廷凤发现江氏被迫卖身，决定成全其夫妻，退还婚书并赠银。,韩廷凤询问江氏心事并做出放归决定,韩廷凤新婚之夜发现新娘江氏因丈夫病重被迫卖身，心生怜悯，退还婚书并赠银百两，送其回家团聚。,转折,3,韩廷凤；江氏；家院,忠义；情爱；情爱；道德抉择,反转,韩廷凤从期待新婚转为同情江氏，主动放弃婚姻并资助其回家，完成道德抉择。,韩廷凤；媒婆；丫鬟；江氏；家院,45,34,0,0.5152,0.0,0.5152,6,5,
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__002,2,【第二场】,89,89,120,吴惠泉家门前及屋内,夜晚,江氏被韩员外送回，吴惠泉得知恩情后决定前去叩谢。,江氏归来，吴惠泉询问并决定叩谢,江氏被韩员外送回，吴惠泉得知韩员外烧毁婚书、退还聘礼并赠银百两，夫妻感激，准备前去叩谢。,收束,1,吴惠泉；江氏；家院,忠义；亲情；善行,收束,吴惠泉得知韩员外善举，病体因得银而好转，决定前去叩谢。,吴惠泉；江氏；家院,33,28,0,0.875,0.0,0.875,3,2,
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__003,3,【第三场】,121,121,132,韩廷凤家中,白天,吴惠泉夫妇谢恩并提议买子报恩,谢恩与商议买子,吴惠泉夫妇跪谢韩廷凤恩情，韩廷凤解释不再娶妻，吴惠泉提议买子报恩，韩廷凤同意但要求远乡买子。,发展,1,韩廷凤；吴惠泉；江氏,报恩；子嗣；善行,推进,吴惠泉提出买子报恩，韩廷凤接受提议，为后续剧情埋下伏笔,吴惠泉；江氏；韩廷凤,30,27,0,2.25,0.0,2.25,2,1,
pdf_01000000__01001009___abd1be1808,硃砂痣,01000000,1000000,《戏考》,《戏考》（1000000）,01001009,硃砂痣,pdf_01000000__01001009___abd1be1808__scene__004,4,【第四场】,133,133,166,家中,荒年,金氏告知韩遇运非亲生并决定卖子,告知与抗拒,金氏因家贫欲卖韩遇运，韩遇运不愿，金氏告知其非亲生，韩遇运震惊，母子面临分离。,冲突,4,金氏；韩遇运,贫寒；身世；亲情；思念,推进,金氏揭示韩遇运身世，母子关系发生根本转变，冲突升级,韩遇运；金氏,16,12,0,0.3529,0.0,0.3529,2,2,
